datetime,direction,location,rate,pbm_rate
01/31/2018 03:30,NB,CVZ to Parmer,0.5,0.66
01/31/2018 03:30,SB,2222 to 5th/CVZ,0.25,0.33
01/31/2018 03:30,SB,Parmer to 2222,0.25,0.33
01/31/2018 03:30,SB,Parmer to 5th/CVZ,0.5,0.66
02/02/2018 18:00,NB,2222 to Parmer,3.83,5.09
02/02/2018 18:00,NB,CVZ to 183,0.94,1.25
02/02/2018 18:00,NB,CVZ to Parmer,4.77,6.34
02/02/2018 18:00,SB,2222 to 5th/CVZ,2.38,3.16
02/02/2018 18:00,SB,Parmer to 2222,0.25,0.33
02/02/2018 18:00,SB,Parmer to 5th/CVZ,2.63,3.49
01/05/2018 15:00,NB,2222 to Parmer,0.43,0.57
01/05/2018 15:00,NB,CVZ to 183,0.55,0.73
01/05/2018 15:00,NB,CVZ to Parmer,0.98,1.3
01/05/2018 15:00,SB,2222 to 5th/CVZ,0.85,1.13
01/05/2018 15:00,SB,Parmer to 2222,0.25,0.33
01/05/2018 15:00,SB,Parmer to 5th/CVZ,1.1,1.46
01/24/2018 16:30,NB,2222 to Parmer,0.82,1.09
01/24/2018 16:30,NB,CVZ to 183,2.88,3.83
01/24/2018 16:30,NB,CVZ to Parmer,3.85,5.12
01/24/2018 16:30,SB,2222 to 5th/CVZ,3.39,4.5
01/24/2018 16:30,SB,Parmer to 2222,0.25,0.33
01/24/2018 16:30,SB,Parmer to 5th/CVZ,3.64,4.84
01/27/2018 02:30,NB,2222 to Parmer,0.25,0.33
01/27/2018 02:30,NB,CVZ to 183,0.25,0.33
01/27/2018 02:30,NB,CVZ to Parmer,0.5,0.66
01/27/2018 02:30,SB,2222 to 5th/CVZ,0.25,0.33
01/27/2018 02:30,SB,Parmer to 2222,0.25,0.33
01/27/2018 02:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/12/2018 20:30,NB,2222 to Parmer,0.25,0.33
01/12/2018 20:30,NB,CVZ to 183,0.25,0.33
01/12/2018 20:30,NB,CVZ to Parmer,0.5,0.66
01/12/2018 20:30,SB,2222 to 5th/CVZ,0.25,0.33
01/12/2018 20:30,SB,Parmer to 2222,0.25,0.33
01/12/2018 20:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/06/2018 17:30,NB,2222 to Parmer,0.25,0.33
01/06/2018 17:30,NB,CVZ to 183,0.25,0.33
01/06/2018 17:30,NB,CVZ to Parmer,0.5,0.66
01/06/2018 17:30,SB,2222 to 5th/CVZ,0.25,0.33
01/06/2018 17:30,SB,Parmer to 2222,0.25,0.33
01/06/2018 17:30,SB,Parmer to 5th/CVZ,0.5,0.66
02/02/2018 09:30,NB,2222 to Parmer,0.25,0.33
02/02/2018 09:30,NB,CVZ to 183,0.25,0.33
02/02/2018 09:30,NB,CVZ to Parmer,0.5,0.66
02/02/2018 09:30,SB,2222 to 5th/CVZ,0.25,0.33
02/02/2018 09:30,SB,Parmer to 2222,0.25,0.33
02/02/2018 09:30,SB,Parmer to 5th/CVZ,0.5,0.66
01/08/2018 11:30,NB,2222 to Parmer,0.25,0.33
01/08/2018 11:30,NB,CVZ to 183,0.25,0.33
01/08/2018 11:30,NB,CVZ to Parmer,0.5,0.66
